82|Apoyo esencial|27-11-1997|Fabriciano|Argentina|Mármol travertino - Madera y metal|82.jpg|Güemes 46|-27.451586,-58.985168||||
83|Victoria||Fabriciano|Argentina|Mármol de Carrara|83.jpg|Ruta Nacional 11, Km 1003,5 - Aeropuerto Internacional Resistencia|-27.444661,-59.04892||||
84|Victoria II|0-0-1983|Fabriciano|Argentina|Mármol|84.jpg|Güemes 144|-27.450970918970555,-58.984447717666626||||
85|Familia|19-7-1998|Fabriciano|Argentina|Metal|85.jpg|Av. Mac Lean y Julio A. Roca|-27.439245,-59.001942||||
86|Canto americano||Fabriciano|Argentina|Mármol|86.jpg|Frondizi 123|-27.452884,-58.986646||||
88|Maternidad|0-0-1993|Fabriciano|Argentina|Mármol travertino|88.jpg|Mitre 401|-27.447086,-58.983952||||
89|Inmaculada|0-0-1978|Fabriciano|Argentina|Mármol de Carrara|89.jpg|Santa María de Oro 60|-27.450857,-58.988149||||
90|San Fernando|0-0-1978|Fabriciano|Argentina|Mármol de Carrara|90.jpg|Santa María de Oro 60|-27.450947,-58.988243||||
92|Magnetismo|0-12-1999|Fabriciano|Argentina|Mármol travertino y metal|92.jpg|Monteagudo 62|-27.455386,-58.980671||||
93|Procesión de destellos|28-8-1999|Fabriciano|Argentina|Mármol dolomita|93.jpg|Monteagudo 546|-27.451566,-58.976431||||
94|Busto de Belgrano|19-6-1970|Fabriciano|Argentina|Cemento|94.jpg|Av. Belgrano 0 al 100|-27.447382,-58.991086||||
95|Bruno Ramirez|11-9-1978|Fabriciano|Argentina|Cemento|95.jpg|Av. Sarmiento 108|-27.450243,-58.98539||||
96|Encuentros I||Fabriciano|Argentina|Cemento|96.jpg|Av. Sarmiento y ruta Nicolas Avellaneda|-27.422333,-58.956065||||
97|Plegaria|28-7-1999|Fabriciano|Argentina|Resina|97.jpg|Mitre 50|-27.449814,-58.987066||||
98|Señales|0-0-1999|Fabriciano|Argentina|Metal|98.jpg|Av. San Martin 499|-27.458885,-58.986323||||
99|Inmaculada||Fabriciano|Argentina|Mármol|99.jpg|Ruta 11 y ruta 16|-27.411919,-59.00217||||
100|A la mar||Fabriciano|Argentina|Chapa|100.jpg|Av. Firpo 103 |-27.478485,-58.953061||||
101|Mujer del éxodo (reproducción)|4-4-1962|Falcini, Luis|Argentina|Cemento|101.jpg|Peatonal Arturo Illía 161|-27.45391,-58.986779||||
102|Espera||Fernández Mar, Nicasio|Argentina|Piedra|102.jpg|Santa María de Oro 2|-27.450399,-58.987625||||
103|Estructura||Fernández Olivi, Raúl|Argentina|Madera|103.jpg|Marcelo T. De Alvear 145 - Casa de Gobierno|-27.449576,-58.986935|Segundo Premio - Sexto Concurso Nacional de Escultura en Madera|||
104|Wichiqomocoi|0-0-1999|Ferrer, Francisco|Argentina|Madera|104.jpg|Rotonda Villa Rossi (Barranqueras)|-27.482885,-58.936198|Segundo Premio - Concurso Milenio|||
105|Cabeza de Guillermo Hillcoat|15-8-1963|Fioravanti, José|Argentina|Bronce|105.jpg|Juan B. Justo 143|-27.453051,-58.98605||||
106|Despertar|19-6-1969|Fontana, Lucio|Argentina|Bronce|106.jpg|Güemes 2|-27.451859,-58.985488||||
107|Los peces en el bosque|7-7-1999|Fujibe, Yoshito|Japón|Mármol travertino|107.jpg|Av. Sarmiento 2100|-27.434494,-58.9677||||
108|Bailarina||Gabito, Walter|Argentina|Cemento|108.jpg|Av. Sarmiento 485|-27.447408,-58.982463||||
109|Mujer andina|26-9-1969|Gaimari, Enrique|Argentina|Piedra|109.jpg|Av. Sarmiento 335|-27.448534,-58.983796||||
111|Forma|10-7-1997|Gajardo, José Vicente|Chile|Mármol travertino|111.jpg|José Maria Paz 101|-27.453615,-58.985703|Segundo puesto y Premio de Escultores|||
112|Mesa|19-7-1998|Gajardo, José Vicente|Chile|Granito|112.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437555,-58.980975|Gran Premio de Honor|||
113|Cincel|19-7-1998|Gamarra, Jorge|Argentina|Granito y chapa|113.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437667,-58.981425|Gran Premio de Honor - Fondo Nacional de las Artes|||
114|Impronta||Gamarra, Jorge|Argentina|Madera|114.jpg|Sala de Exposiciones Museum||Primer premio - Segundo Concurso Nacional de Escultura en Madera|||
115|Libre y forzado|19-7-1998|Gangolf, Serge|Bélgica|Mármol travertino|115.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437629,-58.981168|Gran Premio de Honor|||
116|Orfelia|1-7-1994|Garcia, Orfelia|Desconocido|Cemento|116.jpg|Av. Wilde 315|-27.44468,-58.988208||||
117|Muchacha santiagueña||Gerstein, Noemí|Argentina|Bronce|117.jpg|Pellegrini 235|-27.450916,-58.982787||||
118|Uno y dos||Giangrande, Silvio|Argentina|Mármol|118.jpg|Peatonal Arturo Illía 63|-27.453234,-58.987758||||
119|Cabeza de Einstein|0-0-1999|Glorioso, Mauro|Argentina|Bronce|119.jpg|Frondizi 33|-27.452259,-58.985955|Premio Salón de Rosario|||
120|Maternidad||Glorioso, Mauro|Argentina|Cemento|120.jpg|Juan B. Justo 80|-27.452518,-58.986816||||
121|Y así van las cosas|19-7-1996|"Gómez, Raúl ""Pájaro"""|Argentina|Chapa |121.jpg|Av. Sarmiento 300 al 400|-27.448691,-58.983815||||
122|De la serie de las señales|19-7-1998|"Gómez, Raúl ""Pájaro"""|Argentina|Metal|122.jpg|Av. De los Inmigrantes 1001 - Museum|-27.437405,-58.980913|Premio de los Niños, premio Consalud - Gran Premio de Honor|||
123|Esperando nuevos vientos|00-12-2002|"Gómez, Raúl ""Pájaro"""|Argentina|Madera - Metal|123.jpg|Sala de Exposiciones Museum||Primer premio - Primera Trienal Nacional de Escultura en Madera|||
